0,25.00,0.00,0.00
100,25.54,0.00,0.00
200,26.08,0.00,0.00
300,26.62,0.00,0.00
400,27.15,0.00,0.00
500,27.69,0.00,0.00
600,28.22,0.00,0.00
700,28.76,0.00,0.00
800,29.29,0.00,0.00
900,29.82,0.00,0.00
1000,30.35,0.00,0.00
1100,30.88,0.00,0.00
1200,31.41,0.00,0.00
1300,31.94,0.00,0.00
1400,32.46,0.00,0.00
1500,32.99,0.00,0.00
1600,33.51,0.00,0.00
1700,34.03,0.00,0.00
1800,34.56,0.00,0.00
1900,35.08,0.00,0.00
2000,35.60,0.00,0.00
2100,36.12,0.00,0.00
2200,36.63,0.00,0.00
2300,37.15,0.00,0.00
2400,37.67,0.00,0.00
2500,38.18,0.00,0.00
2600,38.69,0.00,0.00
2700,39.21,0.00,0.00
2800,39.72,0.00,0.00
2900,40.23,0.00,0.00
3000,40.74,0.00,0.00
3100,41.25,0.00,0.00
3200,41.75,0.00,0.00
3300,42.26,0.00,0.00
3400,42.77,0.00,0.00
3500,43.27,0.00,0.00
3600,43.77,0.00,0.00
3700,44.28,0.00,0.00
3800,44.78,0.00,0.00
3900,45.28,1.40,0.00
4000,45.77,3.85,0.00
4100,46.24,6.23,0.00
4200,46.68,8.53,0.00
4300,47.11,10.75,0.00
4400,47.52,12.91,0.00
4500,47.91,14.99,0.00
4600,48.29,17.01,0.00
4700,48.64,18.96,0.00
4800,48.99,20.85,0.00
4900,49.31,22.67,0.00
5000,49.62,24.44,0.00
5100,49.92,26.15,0.00
5200,50.20,27.80,0.00
5300,50.46,29.39,0.00
5400,50.72,30.94,0.00
5500,50.96,32.43,0.00
5600,51.19,33.87,0.00
5700,51.40,35.26,0.00
5800,51.61,36.61,0.00
5900,51.80,37.91,0.00
6000,51.99,39.16,0.00
6100,52.16,40.38,0.00
6200,52.32,41.55,0.00
6300,52.47,42.68,0.00
6400,52.62,43.77,0.00
6500,52.75,44.82,0.00
6600,52.88,45.84,0.00
6700,53.00,46.82,0.00
6800,53.11,47.77,0.00
6900,53.21,48.68,0.00
7000,53.30,49.56,0.00
7100,53.39,50.41,0.00
7200,53.47,51.23,0.00
7300,53.54,52.02,0.00
7400,53.61,52.78,0.00
7500,53.67,53.52,0.00
7600,53.72,54.22,0.00
7700,53.77,54.90,0.00
7800,53.82,55.56,0.00
7900,53.85,56.19,0.00
8000,53.89,56.79,0.00
8100,53.91,57.38,0.00
8200,53.94,57.94,0.00
8300,53.96,58.48,0.00
8400,53.97,59.00,0.00
8500,53.98,59.50,0.00
8600,53.99,59.98,0.00
8700,53.99,60.44,0.00
8800,53.99,60.88,0.00
8900,53.98,61.30,0.00
9000,53.97,61.71,0.00
9100,53.96,62.10,0.00
9200,53.95,62.48,0.00
9300,53.93,62.83,0.00
9400,53.91,63.18,0.00
9500,53.89,63.51,0.00
9600,53.86,63.82,0.00
9700,53.83,64.12,0.00
9800,53.80,64.41,0.00
9900,53.77,64.69,0.00
10000,53.73,64.95,0.00
