0,25.00,0.00,0.00
100,26.20,0.00,0.00
200,27.40,0.00,0.00
300,28.59,0.00,0.00
400,29.79,0.00,0.00
500,30.98,0.00,0.00
600,32.16,0.00,0.00
700,33.35,0.00,0.00
800,34.53,0.00,0.00
900,35.71,0.00,0.00
1000,36.89,0.00,0.00
1100,38.07,0.00,0.00
1200,39.24,0.00,0.00
1300,40.41,0.00,0.00
1400,41.58,0.00,0.00
1500,42.75,0.00,0.00
1600,43.91,0.00,0.00
1700,45.08,0.38,0.00
1800,46.23,6.17,0.00
1900,47.34,11.77,0.00
2000,48.40,17.20,0.00
2100,49.42,22.45,0.00
2200,50.39,27.52,0.00
2300,51.32,32.44,0.00
2400,52.21,37.19,0.00
2500,53.06,41.79,0.00
2600,53.86,46.25,0.00
2700,54.64,50.55,0.00
2800,55.37,54.71,0.00
2900,56.07,58.74,0.00
3000,56.74,62.63,0.00
3100,57.38,66.40,0.00
3200,57.98,70.04,0.00
3300,58.56,73.55,0.00
3400,59.10,76.95,0.00
3500,59.62,80.24,0.00
3600,60.11,83.42,0.00
3700,60.57,86.48,0.00
3800,61.00,89.45,0.00
3900,61.42,92.31,0.00
4000,61.81,95.07,0.00
4100,62.17,97.74,0.00
4200,62.52,100.00,0.00
4300,62.84,100.00,0.00
4400,63.16,100.00,0.00
4500,63.49,100.00,0.00
4600,63.81,100.00,0.00
4700,64.13,100.00,0.00
4800,64.46,100.00,0.00
4900,64.78,100.00,0.00
5000,65.10,100.00,0.00
5100,65.42,100.00,0.00
5200,65.74,100.00,0.00
5300,66.05,100.00,0.00
5400,66.37,100.00,0.00
5500,66.69,100.00,0.00
5600,67.01,100.00,0.00
5700,67.32,100.00,0.00
5800,67.64,100.00,0.00
5900,67.95,100.00,0.00
6000,68.27,100.00,0.00
6100,68.58,100.00,0.00
6200,68.89,100.00,0.00
6300,69.21,100.00,0.00
6400,69.52,100.00,0.00
6500,69.83,100.00,0.00
6600,70.14,100.00,1.00
6700,70.45,100.00,1.00
6800,70.76,100.00,1.00
6900,71.07,100.00,1.00
7000,71.37,100.00,1.00
7100,71.68,100.00,1.00
7200,71.99,100.00,1.00
7300,72.29,100.00,1.00
7400,72.60,100.00,1.00
7500,72.90,100.00,1.00
7600,73.21,100.00,1.00
7700,73.51,100.00,1.00
7800,73.81,100.00,1.00
7900,74.12,100.00,1.00
8000,74.42,100.00,1.00
8100,74.72,100.00,1.00
8200,75.02,100.00,1.00
8300,75.32,100.00,1.00
8400,75.62,100.00,1.00
8500,75.92,100.00,1.00
8600,76.22,100.00,1.00
8700,76.51,100.00,1.00
8800,76.81,100.00,1.00
8900,77.11,100.00,1.00
9000,77.40,100.00,1.00
9100,77.70,100.00,1.00
9200,77.99,100.00,1.00
9300,78.29,100.00,1.00
9400,78.58,100.00,1.00
9500,78.87,100.00,1.00
9600,79.17,100.00,1.00
9700,79.46,100.00,1.00
9800,79.75,100.00,1.00
9900,80.04,100.00,1.00
10000,80.33,100.00,1.00
