0,25.00,0.00,0.00
100,25.54,0.00,0.00
200,26.08,0.00,0.00
300,26.62,0.00,0.00
400,27.15,0.00,0.00
500,27.69,0.00,0.00
600,28.22,0.00,0.00
700,28.76,0.00,0.00
800,29.29,0.00,0.00
900,29.82,0.00,0.00
1000,30.35,0.00,0.00
1100,30.88,0.00,0.00
1200,31.41,0.00,0.00
1300,31.94,0.00,0.00
1400,32.46,0.00,0.00
1500,32.99,0.00,0.00
1600,33.51,0.00,0.00
1700,34.03,0.00,0.00
1800,34.56,0.00,0.00
1900,35.08,0.00,0.00
2000,35.60,0.00,0.00
2100,36.12,0.00,0.00
2200,36.63,0.00,0.00
2300,37.15,0.00,0.00
2400,37.67,0.00,0.00
2500,38.18,0.00,0.00
2600,38.69,0.00,0.00
2700,39.21,0.00,0.00
2800,39.72,0.00,0.00
2900,40.23,0.00,0.00
3000,40.74,0.00,0.00
3100,41.25,0.00,0.00
3200,41.75,0.00,0.00
3300,42.26,0.00,0.00
3400,42.77,0.00,0.00
3500,43.27,0.00,0.00
3600,43.77,0.00,0.00
3700,44.28,0.00,0.00
3800,44.78,0.00,0.00
3900,45.28,1.40,0.00
4000,45.77,3.84,0.00
4100,46.24,6.18,0.00
4200,46.68,8.42,0.00
4300,47.11,10.56,0.00
4400,47.52,12.62,0.00
4500,47.92,14.59,0.00
4600,48.30,16.48,0.00
4700,48.66,18.28,0.00
4800,49.00,20.02,0.00
4900,49.34,21.68,0.00
5000,49.65,23.27,0.00
5100,49.96,24.79,0.00
5200,50.25,26.25,0.00
5300,50.53,27.64,0.00
5400,50.80,28.98,0.00
5500,51.05,30.27,0.00
5600,51.30,31.50,0.00
5700,51.53,32.67,0.00
5800,51.76,33.80,0.00
5900,51.98,34.88,0.00
6000,52.18,35.92,0.00
6100,52.38,36.91,0.00
6200,52.57,37.86,0.00
6300,52.75,38.77,0.00
6400,52.93,39.64,0.00
6500,53.09,40.47,0.00
6600,53.25,41.27,0.00
6700,53.41,42.04,0.00
6800,53.55,42.77,0.00
6900,53.70,43.48,0.00
7000,53.83,44.15,0.00
7100,53.96,44.80,0.00
7200,54.08,45.42,0.00
7300,54.20,46.01,0.00
7400,54.32,46.58,0.00
7500,54.42,47.12,0.00
7600,54.53,47.64,0.00
7700,54.63,48.14,0.00
7800,54.72,48.62,0.00
7900,54.82,49.08,0.00
8000,54.90,49.52,0.00
8100,54.99,49.94,0.00
8200,55.07,50.34,0.00
8300,55.14,50.72,0.00
8400,55.22,51.09,0.00
8500,55.29,51.45,0.00
8600,55.36,51.79,0.00
8700,55.42,52.11,0.00
8800,55.48,52.42,0.00
8900,55.54,52.72,0.00
9000,55.60,53.01,0.00
9100,55.66,53.28,0.00
9200,55.71,53.54,0.00
9300,55.76,53.79,0.00
9400,55.81,54.03,0.00
9500,55.85,54.27,0.00
9600,55.90,54.49,0.00
9700,55.94,54.70,0.00
9800,55.98,54.90,0.00
9900,56.02,55.09,0.00
10000,56.06,55.28,0.00
