0,25.54
100,26.08
200,26.62
300,27.15
400,27.69
500,28.22
600,28.76
700,29.29
800,29.82
900,30.35
1000,30.88
1100,31.41
1200,31.94
1300,32.46
1400,32.99
1500,33.51
1600,34.03
1700,34.56
1800,35.08
1900,35.60
2000,36.12
2100,36.63
2200,37.15
2300,37.67
2400,38.18
2500,38.69
2600,39.21
2700,39.72
2800,40.23
2900,40.74
3000,41.25
3100,41.75
3200,42.26
3300,42.77
3400,43.27
3500,43.77
3600,44.28
3700,44.78
3800,45.28
3900,45.78
4000,46.28
4100,46.77
4200,47.27
4300,47.77
4400,48.26
4500,48.75
4600,49.25
4700,49.74
4800,50.23
4900,50.72
5000,51.21
5100,51.69
5200,52.18
5300,52.67
5400,53.15
5500,53.64
5600,54.12
5700,54.60
5800,55.08
5900,55.56
6000,56.04
6100,56.52
6200,56.99
6300,57.47
6400,57.95
6500,58.42
6600,58.89
6700,59.36
6800,59.84
6900,60.31
7000,60.78
7100,61.24
7200,61.71
7300,62.18
7400,62.64
7500,63.11
7600,63.57
7700,64.04
7800,64.50
7900,64.96
8000,65.42
8100,65.88
8200,66.34
8300,66.79
8400,67.25
8500,67.70
8600,68.16
8700,68.61
8800,69.07
8900,69.52
9000,69.97
9100,70.42
9200,70.87
9300,71.32
9400,71.76
9500,72.21
9600,72.66
9700,73.10
9800,73.54
9900,73.99
10000,74.43
